Football,6
Baseball,7
Basketball,8
Rifle Team,9
Tennis,10
Bowling,11
Rugby,12
Squash,13
Wrestling,14
Track & Field,15
Indoor Track,16
Hockey,17
Soccer,18
Swimming & Diving,19
Skiing,20
Golf,21
Lacrosse,22
Cross Country,23
Independent Hockey,24
